Date,ID,Platform,Impressions,Likes,Comments,Shares,Clicks,promoted,cost
2023-04-16,1011,TT,25245,4320,520,460,2340,,
2023-04-17,1011,TT,24750,4230,510,450,2295,,
2023-04-18,1011,TT,24255,4140,500,440,2250,,
2023-04-19,1011,TT,23760,4050,490,430,2205,,
2023-04-20,1011,TT,23265,3960,480,420,2160,,
2023-04-21,1011,TT,22770,3870,470,410,2115,,
2023-04-22,1011,TT,22275,3780,460,400,2070,,
2023-04-23,1011,TT,21780,3690,450,390,2025,,
2023-04-24,1011,TT,21285,3600,440,380,1980,,
2023-04-25,1011,TT,20790,3510,430,370,1935,,
2023-04-26,1011,TT,20295,3420,420,360,1890,,
2023-04-27,1011,TT,19800,3330,410,350,1845,,
2023-04-28,1011,TT,19305,3240,400,340,1800,,
2023-04-29,1011,TT,18810,3150,390,330,1755,,
2023-04-30,1011,TT,18315,3060,380,320,1710,,
2023-05-01,1011,TT,17820,2970,370,310,1665,,
2023-05-02,1011,TT,17325,2880,360,300,1620,,
2023-05-03,1011,TT,16830,2790,350,290,1575,,
2023-05-04,1011,TT,16335,2700,340,280,1530,,
2023-05-05,1011,TT,15840,2610,330,270,1485,,
2023-05-06,1011,TT,15345,2520,320,260,1440,,
2023-05-07,1011,TT,14850,2430,310,250,1395,,
2023-05-08,1011,TT,14355,2340,300,240,1350,,
2023-05-09,1011,TT,13860,2250,290,230,1305,,
2023-05-10,1011,TT,13365,2160,280,220,1260,,
2023-05-11,1011,TT,12870,2070,270,210,1215,,
2023-05-12,1011,TT,12375,1980,260,200,1170,,
2023-05-13,1011,TT,11880,1890,250,190,1125,,
2023-05-14,1011,TT,11385,1800,240,180,1080,,
2023-05-15,1011,TT,10890,1710,230,170,1035,,
2023-05-16,1011,TT,10395,1620,220,160,990,,
2023-05-17,1011,TT,9900,1530,210,150,945,,
2023-05-18,1011,TT,9405,1440,200,140,900,,
2023-05-19,1011,TT,8910,1350,190,130,855,,
2023-05-20,1011,TT,8415,1260,180,120,810,,
2023-05-21,1011,TT,7920,1170,170,110,765,,
2023-05-22,1011,TT,7425,1080,160,100,720,,
2023-05-23,1011,TT,6930,990,150,90,675,,
2023-05-24,1011,TT,6435,900,140,80,630,,
2023-05-25,1011,TT,5940,810,130,70,585,,
2023-05-26,1011,TT,5445,720,120,60,540,,
2023-05-27,1011,TT,4950,630,110,50,495,,
2023-05-28,1011,TT,4455,540,100,40,450,,
2023-05-29,1011,TT,3960,450,90,30,405,,
2023-05-30,1011,TT,3465,360,80,20,360,,
2023-05-31,1011,TT,2970,270,70,10,315,,
2023-06-01,1011,TT,2475,180,60,0,270,,
2023-06-02,1011,TT,1980,90,50,0,225,,
2023-06-03,1011,TT,1485,0,40,0,180,,
2023-06-04,1011,TT,990,0,30,0,135,,
2023-06-05,1011,TT,495,0,20,0,90,,
2023-06-06,1011,TT,0,0,10,0,45,,
2023-06-07,1011,TT,0,0,0,0,0,,
2023-06-08,1011,TT,0,0,0,0,0,,
2023-06-09,1011,TT,0,0,0,0,0,,
2023-06-10,1011,TT,0,0,0,0,0,,
2023-06-11,1011,TT,0,0,0,0,0,,
2023-06-12,1011,TT,0,0,0,0,0,,
2023-06-13,1011,TT,0,0,0,0,0,,
2023-06-14,1011,TT,0,0,0,0,0,,
2023-06-15,1011,TT,0,0,0,0,0,,
2023-06-16,1011,TT,0,0,0,0,0,,
2023-06-17,1011,TT,0,0,0,0,0,,
2023-06-18,1011,TT,0,0,0,0,0,,
2023-06-19,1011,TT,0,0,0,0,0,,
2023-06-20,1011,TT,0,0,0,0,0,,
2023-06-21,1011,TT,0,0,0,0,0,,
2023-06-22,1011,TT,0,0,0,0,0,,
2023-06-23,1011,TT,0,0,0,0,0,,
2023-06-24,1011,TT,0,0,0,0,0,,
2023-06-25,1011,TT,0,0,0,0,0,,
2023-06-26,1011,TT,0,0,0,0,0,,
2023-06-27,1011,TT,0,0,0,0,0,,
2023-06-28,1011,TT,0,0,0,0,0,,
2023-06-29,1011,TT,0,0,0,0,0,,
2023-06-30,1011,TT,0,0,0,0,0,,
2023-07-01,1011,TT,0,0,0,0,0,,
2023-07-02,1011,TT,0,0,0,0,0,,
2023-07-03,1011,TT,0,0,0,0,0,,
2023-07-04,1011,TT,0,0,0,0,0,,
2023-07-05,1011,TT,0,0,0,0,0,,
2023-07-06,1011,TT,0,0,0,0,0,,
2023-07-07,1011,TT,0,0,0,0,0,,
2023-07-08,1011,TT,0,0,0,0,0,,
2023-07-09,1011,TT,0,0,0,0,0,,
2023-07-10,1011,TT,0,0,0,0,0,,
2023-07-11,1011,TT,0,0,0,0,0,,
2023-07-12,1011,TT,0,0,0,0,0,,
2023-07-13,1011,TT,0,0,0,0,0,,
2023-07-14,1011,TT,0,0,0,0,0,,
2023-07-15,1011,TT,0,0,0,0,0,,
2023-07-16,1011,TT,0,0,0,0,0,,
2023-07-17,1011,TT,0,0,0,0,0,,
2023-07-18,1011,TT,0,0,0,0,0,,
2023-07-19,1011,TT,0,0,0,0,0,,
2023-07-20,1011,TT,0,0,0,0,0,,
2023-07-21,1011,TT,0,0,0,0,0,,
2023-07-22,1011,TT,0,0,0,0,0,,
2023-07-23,1011,TT,0,0,0,0,0,,
2023-07-24,1011,TT,0,0,0,0,0,,
2023-07-25,1011,TT,0,0,0,0,0,,
2023-07-26,1011,TT,0,0,0,0,0,,
2023-07-27,1011,TT,0,0,0,0,0,,
2023-07-28,1011,TT,0,0,0,0,0,,
2023-07-29,1011,TT,0,0,0,0,0,,
2023-07-30,1011,TT,0,0,0,0,0,,
2023-07-31,1011,TT,0,0,0,0,0,,
2023-08-01,1011,TT,0,0,0,0,0,,
2023-08-02,1011,TT,0,0,0,0,0,,
2023-08-03,1011,TT,0,0,0,0,0,,
2023-08-04,1011,TT,0,0,0,0,0,,
2023-08-05,1011,TT,0,0,0,0,0,,
2023-08-06,1011,TT,0,0,0,0,0,,
2023-08-07,1011,TT,0,0,0,0,0,,
2023-08-08,1011,TT,0,0,0,0,0,,
2023-08-09,1011,TT,0,0,0,0,0,,
2023-08-10,1011,TT,0,0,0,0,0,,
2023-08-11,1011,TT,0,0,0,0,0,,
2023-08-12,1011,TT,0,0,0,0,0,,
2023-08-13,1011,TT,0,0,0,0,0,,
2023-08-14,1011,TT,0,0,0,0,0,,
2023-08-15,1011,TT,0,0,0,0,0,,
2023-08-16,1011,TT,0,0,0,0,0,,
2023-08-17,1011,TT,0,0,0,0,0,,
2023-08-18,1011,TT,0,0,0,0,0,,
2023-08-19,1011,TT,0,0,0,0,0,,
2023-08-20,1011,TT,0,0,0,0,0,,
2023-08-21,1011,TT,0,0,0,0,0,,
2023-08-22,1011,TT,0,0,0,0,0,,
2023-08-23,1011,TT,0,0,0,0,0,,
2023-08-24,1011,TT,0,0,0,0,0,,
2023-08-25,1011,TT,0,0,0,0,0,,
2023-05-02,1012,TT,25245,4320,520,460,2340,,
2023-05-03,1012,TT,24750,4230,510,450,2295,,
2023-05-04,1012,TT,24255,4140,500,440,2250,,
2023-05-05,1012,TT,23760,4050,490,430,2205,,
2023-05-06,1012,TT,23265,3960,480,420,2160,,
2023-05-07,1012,TT,22770,3870,470,410,2115,,
2023-05-08,1012,TT,22275,3780,460,400,2070,,
2023-05-09,1012,TT,21780,3690,450,390,2025,,
2023-05-10,1012,TT,21285,3600,440,380,1980,,
2023-05-11,1012,TT,20790,3510,430,370,1935,,
2023-05-12,1012,TT,20295,3420,420,360,1890,,
2023-05-13,1012,TT,19800,3330,410,350,1845,,
2023-05-14,1012,TT,19305,3240,400,340,1800,,
2023-05-15,1012,TT,18810,3150,390,330,1755,,
